Program Name,City,Country,Region,Brochure,Active
IES Abroad Quito - Area Studies & Language,Quito,Ecuador,South America,view program brochure,No
IES Abroad Quito Direct Enrollment - Universidad San Francisco de Quito,Quito,Ecuador,South America,view program brochure,No
IES Abroad Quito Summer – Environmental Studies,Quito,Ecuador,South America,view program brochure,No
IES Abroad Rabat - Study in Rabat,Rabat,Morocco,Africa,view program brochure,No
IES Abroad Rio de Janeiro - Study Brazil,Rio de Janeiro,Brazil,South America,view program brochure,No
IES Abroad Rome - International Relations,Rome,Italy,Europe,view program brochure,No
IES Abroad Rome - Language & Area Studies,Rome,Italy,Europe,view program brochure,Yes
IES Abroad Rome Summer - Fashion Studies,Rome,Italy,Europe,view program brochure,No
IES Abroad Salamanca – Language & Area Studies,Salamanca,Spain,Europe,view program brochure,No
IES Abroad Salamanca Summer – Language & Culture (Session I),Salamanca,Spain,Europe,view program brochure,No
IES Abroad Salamanca Summer – Language & Culture (Session II),Salamanca,Spain,Europe,view program brochure,No
"IES Abroad San Jose – Social, Economic & Environmental Change",San Jose,Costa Rica,Central America,view program brochure,No
IES Abroad Santiago – Health Studies,Santiago,Chile,South America,view program brochure,No
IES Abroad Santiago - Study in Santiago,Santiago,Chile,South America,view program brochure,No
IES Abroad Santiago Summer - Health Studies,Santiago,Chile,South America,view program brochure,No
IES Abroad Shanghai - Business in China,Shanghai,China,Asia,view program brochure,No
"IES Abroad Shanghai - Economy, Business & Society",Shanghai,China,Asia,view program brochure,No
IES Abroad Siena - Business & Economics of Italian Food & Wine,Siena,Italy,Europe,view program brochure,No
IES Abroad Siena â?? Study in Tuscany,Siena,Italy,Europe,view program brochure,No
IES Abroad Siena Summer - Tradition & Cuisine in Tuscany,Siena,Italy,Europe,view program brochure,No
IES Abroad Sydney Direct Enrollment - Macquarie University,Sydney,Australia,Australia/Pacific Islands,view program brochure,No
IES Abroad Sydney Direct Enrollment - University of New South Wales,Sydney,Australia,Australia/Pacific Islands,view program brochure,No
IES Abroad Sydney Direct Enrollment - University of Sydney,Sydney,Australia,Australia/Pacific Islands,view program brochure,No
IES Abroad Sydney Summer - Internship,Sydney,Australia,Australia/Pacific Islands,view program brochure,No
IES Abroad Tokyo - Language & Culture,Tokyo,Japan,Asia,view program brochure,Yes
IES Abroad Tokyo - Language Intensive,Tokyo,Japan,Asia,view program brochure,No
IES Abroad Tokyo Summer,Tokyo,Japan,Asia,view program brochure,No
IES Abroad Vienna - European Society & Culture,Vienna,Austria,Europe,view program brochure,No
IES Abroad Vienna - Music,Vienna,Austria,Europe,view program brochure,No
IES Abroad Vienna Summer - Music History & Performance,Vienna,Austria,Europe,view program brochure,No
IES Abroad Vienna Summer - Psychology,Vienna,Austria,Europe,view program brochure,No
Star iconIES Abroad Virtual World DiscoverIES,Rochester,United States,North America,view program brochure,No
iGem Team,Paris,France,Europe,view program brochure,No
Star iconIndependent Study (Abroad),Multiple,Multiple,Multiple,view program brochure,No
Star iconInstitut Teknologi Bandung (GE3 - Engineering),Bandung,Indonesia,Asia,view program brochure,Yes
Intercollegiate Center for Classical Studies in Rome (ICCS),Rome,Italy,Europe,view program brochure,No
International University of Japan (Simon),Nigata,Japan,Asia,view program brochure,No
Star iconIRES: Collaborative Research to Yield Stimulating Transnational Activities in Lattice Dynamics (CRYSTAL Dynamics),Milan,Italy,Europe,view program brochure,No
,Turin,Italy,Europe,,
Star iconIslamic Monuments of Spain (Faculty Led),Granada,Spain,Europe,view program brochure,No
,Sevilla,Spain,Europe,,
,Cordoba,Spain,Europe,,
ITMO and MEPhi Optics Summer Research Program (Faculty Led),Moscow,Russia,Europe,view program brochure,No
,St Petersburg,Russia,Europe,,
Star iconJagiellonian University (Exchange),Krakow,Poland,Europe,view program brochure,Yes
John Moslon International Case Competition (Simon),Montreal,Canada,North America,view program brochure,No
Star iconKAIST - Korea Advanced Institute of Science & Technology (GE3 - Engineering),Daejeon,South Korea,Asia,view program brochure,Yes
Katholieke Universiteit (Simon),Leuven,Belgium,Europe,view program brochure,No
Star iconKhalifa University of Science and Technology (GE3 - Engineering),Abu Dhabi,United Arab Emirates,Middle East,view program brochure,Yes
Kingston University,London,United Kingdom,Europe,view program brochure,Yes
Star iconKoç University,Istanbul,Turkey,Middle East,view program brochure,Yes
Star iconKyoto University (Exchange),Kyoto,Japan,Asia,view program brochure,Yes
La Salle - Universitat Ramon Llull,Barcelona,Spain,Europe,view program brochure,Yes
Star iconLatin Epigraphy in Rome (Faculty Led),Rome,Italy,Europe,view program brochure,No
Linguistics Research Abroad,Durban,South Africa,Africa,view program brochure,No
Star iconLisio Italian Studies: Florence Creative Writing Workshop,Florence,Italy,Europe,view program brochure,Yes
"Star iconLisio Studies: Sustainability, Food, and Local Cultures",Bra,Italy,Europe,view program brochure,Yes
,Arezzo,Italy,Europe,,
,Naples,Italy,Europe,,
Star iconLund University (GE3 - Engineering),Lund,Sweden,Europe,view program brochure,Yes
Star iconLV Prasad Eye Institute Summer Research Experience (LVPEI) (Faculty Led),Hyderabad,India,Asia,view program brochure,No
Mahidol University International College (MUIC),Salaya,Thailand,Asia,view program brochure,Yes
Star iconMalawi Immersion Seminar (Faculty Led),Gowa,Malawi,Africa,view program brochure,No
Medical Rotation – Non-Rochester Program,Multiple,Multiple,Multiple,view program brochure,No
Star iconMeiji Gakuin University (Exchange),Tokyo,Japan,Asia,view program brochure,Yes
Men’s Varsity Squash,Barcelona,Spain,Europe,view program brochure,No
Men's Basketball Tour (Athletics and Recreation),Madrid,Spain,Europe,view program brochure,No
,Toledo,Spain,Europe,,
,Valencia,Spain,Europe,,
,Barcelona,Spain,Europe,,
Men's Soccer Team,Multiple,Multiple,Multiple,view program brochure,No
MKT 442X (Simon),Milan,Italy,Europe,view program brochure,No
MKT 449: Global Marketing Strategy in Brazil,Sao Paulo,Brazil,South America,view program brochure,No
,Rio de Janeiro,Brazil,South America,,
Model UN,Toronto,Canada,North America,view program brochure,No
Star iconNanyang Technological University (Exchange),Singapore,Singapore,Asia,view program brochure,Yes
Nanyang Technological University - Summer Program,Singapore,Singapore,Asia,view program brochure,Yes
Star iconNational Cheng Kung University (NCKU) (Exchange),Tainan,Taiwan,Asia,view program brochure,No
National Chiao Tung University (NCTU) Summer Program,Hsinchu,Taiwan,Asia,view program brochure,No
Non-Rochester Program (Non-Credit),Multiple,Multiple,Multiple,view program brochure,Yes
Non-Rochester SMD Student Travel (Credit-Bearing Elective),Multiple,Multiple,Multiple,view program brochure,Yes
Non-Rochester SMD Student Travel (Non-Credit),Multiple,Multiple,Multiple,view program brochure,Yes
Non-Rochester Study Abroad Program,Multiple,Multiple,Multiple,view program brochure,Yes
Non-Rochester Summer Program,Multiple,Multiple,Multiple,view program brochure,Yes
Star iconPagans and Christians in Rome,Rome,Italy,Europe,view program brochure,No
"Star iconPilgrimage (Salamanca, Spain; Camino de Santiago) (Faculty Led)",Salamanca,Spain,Europe,view program brochure,No
Pilgrimage/Exhibition/Biennale,Venice,Italy,Europe,view program brochure,No
Star iconPontificia Universidad Catolica del Peru (PUCP) - (Virtual Program),Rochester,United States,North America,view program brochure,No
Star iconPontificia Universidad Catolica del Peru (PUCP) Peru (Exchange),Lima,Peru,South America,view program brochure,No
Star iconPOSTECH (Pohang University of Science & Technology) (GE3 - Engineering),Pohang-si,South Korea,Asia,view program brochure,Yes
Star iconProcida: Summer Service Learning - Lisio Italian Studies Program (Faculty Led),Procida,Italy,Europe,view program brochure,No
Queen Mary University of London,London,United Kingdom,Europe,view program brochure,Yes
Queen Mary University of London Summer School,London,United Kingdom,Europe,view program brochure,Yes
Star iconROC Galapagos (Faculty Led),Galapagos,Ecuador,South America,view program brochure,No
,Quito,Ecuador,South America,,
Rothberg International School - Summer Program,Jerusalem,Israel,Middle East,view program brochure,No
Rothberg International School - Undergraduate Study Abroad Program,Jerusalem,Israel,Middle East,view program brochure,No
Star iconRussian in Estonia (Faculty Led),Tallinn,Estonia,Europe,view program brochure,No
Star iconRussian in Russia (Faculty Led),Saint Petersburg,Russia,Europe,view program brochure,No
Star iconSacred Spaces in Greece (Faculty Led),Athens,Greece,Europe,view program brochure,No
Star iconSan Martino Archaeological Field School (Faculty Led),Torano di Borgorose,Italy,Europe,view program brochure,No
Star iconSeoul National University (Exchange),Seoul,South Korea,Asia,view program brochure,Yes
Seoul National University - International Summer Program,Seoul,South Korea,Asia,view program brochure,Yes
Star iconShandong University (Exchange),Jinan,China,Asia,view program brochure,No
Shandong University International Summer School,Jinan,China,Asia,view program brochure,No
Sigma Chi,Don Juan,Dominican Republic,Latin America,view program brochure,No
,Santo Domingo,Dominican Republic,Central America,,
Simon Career Ctr. Ng Trek (Simon),Shanghai,China,Asia,view program brochure,No
,Beijing,China,Asia,,
Simon CMC international Trek,Hong Kong,China,Asia,view program brochure,No
,Shanghai,China,Asia,,
SMD Medical Research - Full Year,Multiple,Multiple,Multiple,view program brochure,Yes
SMD Medical Research - Summer,Multiple,Multiple,Multiple,view program brochure,No
SMD Student Travel (Credit-Bearing Elective),Multiple,Multiple,Multiple,view program brochure,Yes
Star iconSmith's Island Archaeology Project,Smith's Island,Bermuda,North America,view program brochure,No
Sogang University,Seoul,South Korea,Asia,view program brochure,Yes
Star iconSolomon Islands Field Course (Faculty Led),Makira Island,Solomon Islands,Australia/Pacific Islands,view program brochure,No
Star iconSpanish in Spain (Faculty Led),Granada,Spain,Europe,view program brochure,No
Star iconSpectacle and Festival in Ancient Rome (CLST/RELC XXX),Rome,Italy,Europe,view program brochure,No
STR 443X (Simon),Singapore,Singapore,Asia,view program brochure,No
STR443X - Singapore Immersion (Simon),Singapore,Singapore,Asia,view program brochure,No
Strong Jugglers,Quebec City,Canada,North America,view program brochure,No
Student Travel Proposal (Final Name TBD),Multiple,Multiple,Multiple,view program brochure,No
Students Helping Honduras,El Progreso,Honduras,Central America,view program brochure,No
Study Abroad General,Multiple,Multiple,Multiple,view program brochure,No
Study in Portugal Network (SiPN),Lisbon,Portugal,Europe,view program brochure,No
Study Local in China,Rochester,United States,North America,view program brochure,No
Star iconSummer Arts in Italy: Arezzo,Arezzo,Italy,Europe,view program brochure,No
Star iconSummer in Ghana (Faculty Led),Accra,Ghana,Africa,view program brochure,No
Summer in Hong Kong,Hong Kong,China,Asia,view program brochure,No
Star iconSummer in Korea (Faculty Led),Seoul,South Korea,Asia,view program brochure,Yes
"Star iconSummer Lab in Hangzhou, China (Faculty Led)",Hangzhou,China,Asia,view program brochure,No
Star iconSummer Program in Krakow (Jagiellonian University) (Faculty Led),Krakow,Poland,Europe,view program brochure,No
Summer Research at Chinese University of Hong Kong,Hong Kong,China,Asia,view program brochure,No
Summer Research at Universidad de las Americas Puebla,San Andres Cholula,Mexico,Central America,view program brochure,No
Summer Undergraduate Research Programme (SURP) at Chinese University Hong Kong,Hong Kong,China,Asia,view program brochure,Yes
Star iconTechnion - Israel Institute of Technology (Engineering),Haifa,Israel,Middle East,view program brochure,No
Star iconTecnológico de Monterrey (GE3 - Engineering),Monterrey,Mexico,North America,view program brochure,Yes
Test program,Rochester,United States,North America,view program brochure,No
Test Program (Areas of Study),Rochester,United States,North America,view program brochure,No
Test Program for Ted,Tokyo,Japan,Asia,view program brochure,No
test program number 1000,Rochester,United States,North America,view program brochure,No
The GREEN Program - Iceland Renewable Energy & Sustainability,Reykjavik,Iceland,Europe,view program brochure,No
The Intern Group: Global Internship and Cultural Immersion Program (Dublin),Dublin,Ireland,Europe,view program brochure,Yes
The Intern Group: Global Internship and Cultural Immersion Program (London),London,United Kingdom,Europe,view program brochure,Yes
The Intern Group: Global Internship and Cultural Immersion Program (Madrid),Madrid,Spain,Europe,view program brochure,Yes
The Intern Group: Global Internship and Cultural Immersion Program (Melbourne),Melbourne,Australia,Australia/Pacific Islands,view program brochure,Yes
Star iconThe Intern Group: Remote Internship Program,Rochester,United States,North America,view program brochure,Yes
Star iconTheatre in England (Faculty Led),London,United Kingdom,Europe,view program brochure,Yes
Star iconTU Delft - Delft University of Technology (GE3 - Engineering),Delft,Netherlands,Europe,view program brochure,No
Universidad del CEMA (Simon),Buenos Aires,Argentina,South America,view program brochure,No
Star iconUniversidad Del País Vasco (GE3 - Engineering),Bilbao,Spain,Europe,view program brochure,Yes
Universidad Panamericana IPADE Business School (Simon),Monterrey,Mexico,North America,view program brochure,Yes
,Mexico City,Mexico,Latin America,,
Star iconUniversiti Teknologi Malaysia (GE3 - Engineering),Kuala Lumpur,Malaysia,Asia,view program brochure,No
,Johor Bahru,Malaysia,Asia,,
Star iconUniversiti Teknologi Petronas,Seri Iskandar,Malaysia,Asia,view program brochure,Yes
University College Dublin,Dublin,Ireland,Europe,view program brochure,Yes
Star iconUniversity of Auckland (Virtual Program),Rochester,United States,North America,view program brochure,No
Star iconUniversity of Bristol (Exchange),Bristol,United Kingdom,Europe,view program brochure,Yes
University of Bristol - Biomedical Sciences Lab Summer School,Bristol,United Kingdom,Europe,view program brochure,No
University of Canterbury,Christchurch,New Zealand,Australia/Pacific Islands,view program brochure,Yes
Star iconUniversity of Lausanne (Exchange),Lausanne,Switzerland,Europe,view program brochure,Yes
Star iconUniversity of Leeds (Exchange),Leeds,United Kingdom,Europe,view program brochure,Yes
University of Leeds International Summer School (Exchange),Leeds,United Kingdom,Europe,view program brochure,Yes
Star iconUniversity of Liverpool (Exchange),Liverpool,United Kingdom,Europe,view program brochure,No
Star iconUniversity of Macau (Exchange),macau,Macao,Asia,view program brochure,No
Star iconUniversity of Melbourne (GE3 - Engineering),Melbourne,Australia,Australia/Pacific Islands,view program brochure,Yes
Star iconUniversity of Michigan - Shanghai Jiao Tong University Joint Institute (GE3 - Engineering),Shanghai,China,Asia,view program brochure,No
Star iconUniversity of Navarra (Exchange),Pamplona,Spain,Europe,view program brochure,No
Star iconUniversity of New South Wales (GE3 - Engineering),Sydney,Australia,Australia/Pacific Islands,view program brochure,No
University of Newcastle,Callaghan,Australia,Oceania,view program brochure,Yes
Star iconUniversity of Newcastle (GE3 - Engineering),Newcastle,Australia,Australia/Pacific Islands,view program brochure,Yes
University of Nicosia - Summer in Cyprus,Nicosia,Cyprus,Middle East,view program brochure,No
University of Nicosia - Summer in Cyprus: 8 Weeks,,,,view program brochure,No
University of Nicosia Global Semesters | Semester in Cyprus,Nicosia,Cyprus,Middle East,view program brochure,Yes
University of Nicosia Global Semesters | Summer in Cyprus: Digital Currency & Blockchain Technology,Nicosia,Cyprus,Middle East,view program brochure,No
University of Nicosia Global Semesters | Summer in Cyprus: Engineering,Nicosia,Cyprus,Middle East,view program brochure,No
University of Nicosia Global Semesters | Summer in Cyprus: Geology,Nicosia,Cyprus,Middle East,view program brochure,No
University of Nicosia Global Semesters | Summer in Cyprus: Health Management,Nicosia,Cyprus,Middle East,view program brochure,No
University of Nicosia Global Semesters | Summer in Cyprus: Int'l Accounting,Nicosia,Cyprus,Middle East,view program brochure,No
University of Nicosia Global Semesters | Summer in Cyprus: Int'l Marketing,Nicosia,Cyprus,Middle East,view program brochure,No
University of Nicosia Global Semesters | Summer in Cyprus: Int'l Relations,Nicosia,Cyprus,Middle East,view program brochure,No
University of Nicosia Global Semesters | Summer in Cyprus: Pre-Med,Nicosia,Cyprus,Middle East,view program brochure,No
Star iconUniversity of Rennes 1 - Economics (Exchange),Rennes,France,Europe,view program brochure,Yes
Star iconUniversity of Sheffield (GE3 - Engineering),Sheffield,United Kingdom,Europe,view program brochure,Yes
Star iconUniversity of Southampton (Exchange),Southampton,United Kingdom,Europe,view program brochure,No
Star iconUniversity of Sussex (Exchange),Brighton,United Kingdom,Europe,view program brochure,Yes
University of Sydney - Spring Friendly,Sydney,Australia,Australia/Pacific Islands,view program brochure,Yes
University of Sydney - Summer/Winter School,Sydney,Australia,Australia/Pacific Islands,view program brochure,No
University of Sydney and New South Wales (Simon),Sydney,Australia,Australia/Pacific Islands,view program brochure,No
,New South Wales,Australia,Australia/Pacific Islands,,
Star iconUniversity of Sydney Exchange - Direct Enrollment (Exchange),Sydney,Australia,Australia/Pacific Islands,view program brochure,Yes
Star iconUniversity of Twente (GE3 - Engineering),Enschede,Netherlands,Europe,view program brochure,Yes
Star iconUniversity of Western Australia - UWA (Exchange),Perth,Australia,Australia/Pacific Islands,view program brochure,Yes
Star iconUniversity of York (Exchange),York,United Kingdom,Europe,view program brochure,Yes
University of York - Summer School,York,United Kingdom,Europe,view program brochure,Yes
University Scholars Leadership Symposium,Kuala Lumpur,Malaysia,Asia,view program brochure,No
Star iconUppsala University (Exchange),Uppsala,Sweden,Europe,view program brochure,No
UR Christian Fellowship,Mexicali,Mexico,Latin America,view program brochure,No
UR Debate Union,Panama City,Panama,Central America,view program brochure,No
,Multiple,Multiple,Multiple,,
UR Golf,Edinburgh,United Kingdom,Europe,view program brochure,No
UR HOPE Alliance,Odisha,India,Asia,view program brochure,No
UR Volleyball,San Juan,Puerto Rico,North America,view program brochure,No
Star iconVictoria University of Wellington (Exchange),Wellington,New Zealand,Australia/Pacific Islands,view program brochure,Yes
Star iconWaseda University (Exchange),Tokyo,Japan,Asia,view program brochure,Yes
Waseda University - Summer Session,Tokyo,Japan,Asia,view program brochure,Yes
WHU Otto Beisheim School of Management (Simon),Valiendar,Germany,Europe,view program brochure,No
Women's Basketball (Athletics and Recreation),Bridgetown,Barbados,Latin America,view program brochure,No
,San Juan,Puerto Rico,North America,,
Women's Soccer,San Jose,Costa Rica,Central America,view program brochure,No
,Puntarenas,Costa Rica,Central America,,
,Nuevo Arenal,Costa Rica,Central America,,
,Quepos,Costa Rica,Central America,,
,Toronto,Canada,North America,,
,Lisbon,Portugal,Europe,,
,Faro,Portugal,Europe,,
Worldwide Universities Network (WUN) - University of Alberta Summer Research,Edmonton,Canada,North America,view program brochure,No
Worldwide Universities Network (WUN) - University of Ghana Summer School,Legon,Ghana,Africa,view program brochure,No
Worldwide Universities Network (WUN) AGM Conference Student Delegate - University College Dublin,Dublin,Ireland,Europe,view program brochure,No
Star iconYonsei University (Exchange),Seoul,South Korea,Asia,view program brochure,Yes
Yonsei University - International Summer School,Seoul,South Korea,Asia,view program brochure,Yes
Z_OLD_EES - Garzione -China,,,,view program brochure,No
Z_OLD_EES - Tarduno Archeo,,,,view program brochure,No
Z_OLD_EPA Internships in Europe: Bonn Summer Program,Bonn,Germany,Europe,view program brochure,No
Star iconZ_OLD_Queen Mary University of London,London,United Kingdom,Europe,view program brochure,No
Z_OLD_Technion Israel Institute of Technology,Haifa,Israel,Middle East,view program brochure,No
Star iconZ_OLD_University of New South Wales (UNSW) Exhange - Direct Enrollment,Sydney,Australia,Australia/Pacific Islands,view program brochure,No
Z_OLD_University of Nicosia - Semester in Cyprus,Amsterdam,Netherlands,Europe,view program brochure,No
,Berlin,Germany,Europe,,
,Brussels,Belgium,Europe,,
,Dresden,Germany,Europe,,
,Paris,France,Europe,,
,Prague,Czech Republic,Europe,,
,Salzburg,Austria,Europe,,
,Strasbourg,France,Europe,,
,Vienna,Austria,Europe,,
"Z_OLD_University of York - CHE 392: Energy, Sustainability and Society",York,United Kingdom,Europe,view program brochure,No
Z-OLD_Advanced Studies in England Summer,Bath,United Kingdom,Europe,view program brochure,No
